Player_ID,Match_ID,Player_Name,Team,Country,Age,Gender,Coach_Name,Sport_Type,Match_Date,Match_Fee,Bonus,Sponsorship_Amount,Score,Assists,Goals,Wickets,Ticket_Sales,Merch_Sales,Venue,Weather,Win_Status,Rating,Feedback_Score,Fan_ID,Payment_Mode,Fan_Purchase_Amount,Minutes_Played,Matches_Played,Fan_Email,Fan_Phone,Fan_Count,Merch_ID
1102,5082,,CSK,india,17,male,Rahul Dravid,Football,13-02-2023,,,287941,13,0,1,5,37356,,Chennai, ,,4.6,,81006,,8970,1,3,,12345,2337,78
1179,5034, Virat,KKR,india,23,Male,None,Tennis,05-12-2022,,,,90,9,7,0,18655,7745,, ,Draw,9.9,,80048, ,,,11,,,805,156
1092,5195,Rohit ,RCB,sri lanka,69,female,,footbal,30-08-2020,,-457,,152,3,6,0,,2843,,Sunny,win ,,,81850,creadit card,,,23,xyz@,,3039,42
1014,5068,Bumrah,KKR,,60,mal, ,Basketball,22-01-2024,,67,1044184,76,9,8,0,,14535,,rainy,DRAW,,,81929,creadit card,,12,2,abc@gmail.com,,278,62
1106,5128,Joe Root,Lakers,England,39,femal,John Smith,Cricket,29-07-2020,,870,,84,4,7,5,,, , ,DRAW,,6,82132,creadit card,14920,,17,user@yahoo,9999999999,1405,125
1071,5195,Joe Root,Lakers,australia,20,Other,None,Football,12-05-2023,387,,1246406,108,1,3,3,,,Mumbai,Sunny,Lose,,,81525, ,9393,33,28,,9999999999,787,180
1188,5139,Smith,KKR,Sri Lanka,58,Other,None,Football,23-01-2024,,,1394214,30,4,1,1,,,, ,Draw,2.4,,80328,,,62,11,abc@gmail.com,9876543210,1332,22
1020,5187, Virat,CSK,Australia,33,Mle,,basktball,07-08-2021,,,,121,9,1,3,8839,3104,Chennai,Cloudy,Win,6.9,1,82657,credit card,,66,23,user@yahoo,9999999999,4372,57
1102,5026,,Lakers,sri lanka,10,Mle,Rahul Dravid,Cricket,19-05-2022,,2925,730707,106,3,1,5,30417,,Kolkata,Sunny,Lose,,3,84529,upi,17522,107,23,,9876543210,3147,96
1121,5055,Hardik,RCB,INDIA,30,Female, ,,08-02-2024,761,,,53,7,5,3,3528,,Bangalore,,Lose,5.8,,80587,creadit card,5898,,18,user@yahoo,12345,2345,139
1074,5022, Virat,KKR,India,11,mal,John Smith,Tennis,03-12-2023,,,835031,132,0,6,2,27302,13721,Bangalore,Cloudy,Win,,3,83205, ,240,59,12,user@yahoo,,3449,142
1087,5152, ,Barcelona,INDIA,66,Male,Rahul Dravid,Basketball,24-04-2022,,2029,330413,140,4,5,5,,,Mumbai,,Win,,,81598,credit card,,,15,user@yahoo,9999999999,432,31
1116,5020,Ronaldo,Lakers,Australia,,female,,,,909,,,155,9,1,0,30456,,Bangalore,,Lose,,,83851,,,91,7,,9999999999,1009,4
1099,5060,Rohit ,Lakers,england,66,mal,,,,5841,,112038,42,0,3,1,,,,Sunny,Win,,,82472,credit card,,,26,,9999999999,3849,109
1103,5062,Rohit ,MI,sri lanka,38,femal,None,basktball,14-04-2020,-1593,,272289,88,9,2,2,,,Kolkata,,Win,,,82817,credit card,3764,,26,,12345,316,150
1151,5121, Virat,RCB,australia,59,femal,Rahul Dravid,Basketball,,3145,,478307,114,9,3,2,54803,7150,Bangalore, ,,8.7,0,84607, ,8135,,5,abc@gmail.com,,4216,118
1130,5051,Joe Root,RCB,sri lanka,61,male, ,,11-01-2022,,1485,,98,3,4,5,34862,,Mumbai,Cloudy,DRAW,8.1,3,81408,cash,9035,56,9,,9876543210,1365,93
1149,5087,Joe Root,Barcelona,England,66,Male, , ,05-12-2023,,,,46,7,6,4,17867,,,rainy,Draw,7.5,,81011,upi,,,24,,9876543210,4399,99
1052,5152,Hardik,Lakers,England,50,Female,John Smith,footbal,05-12-2023,,1846,,70,0,8,0,39669,18222,,Cloudy,,,,84659,netbanking,7545,,9,abc@gmail.com,12345,935,192
1001,5054, ,,Sri Lanka,53,Mle,None,Tennis,03-03-2023,,1890,996837,165,1,1,1,,,Delhi,rainy,Win,,,84398,cash,,15,28,xyz@,,3518,77
1087,5045,Rohit ,MI,,56,Female,John Smith,Football,07-07-2023,,,597941,66,0,7,1,,,,Rainy, lose,5.2,1,84044,creadit card,12815,65,5,,12345,3787,83
1157,5031,Hardik,Barcelona,india,61,Female,,Basketball,25-12-2020,3635,,,61,6,2,1,,,,Sunny,DRAW,7,3,81329,netbanking,,,7,xyz@,12345,2768,115
1037,5054,Joe Root,CSK,england,45,Mle,John Smith, ,05-12-2023,,,811576,108,1,8,5,14156,10543,,Sunny,Win,8.2,3,82604,cash,10842,112,17,xyz@,,495,61
1129,5095,,,india,14,Female,Rahul Dravid,Basketball,21-08-2022,,122,1389593,166,0,9,0,,8106,,,Win,8.1,,82023, ,2254,,16,abc@gmail.com,9999999999,3592,100
1191,5132,Hardik,,Sri Lanka,62,Mle,None,basktball,20-05-2023,3154,2387,,36,5,3,5,32120,10726,Kolkata,rainy,Draw,6.8,,84507,creadit card,5780,,25,user@yahoo,9999999999,2232,134
1187,5035,Ronaldo,KKR,england,41,female,None,Tennis,13-10-2023,-1689,833,613316,118,5,2,1,33543,,Bangalore,, lose,5,7,83185,,,27,9,abc@gmail.com,12345,4018,79
1020,5109,Joe Root,CSK,sri lanka,13,female,None,Tennis,14-11-2021,2632,,,85,9,9,3,,7054, ,Rainy,win ,,,84603,cash,,,1,,,2935,196
1160,5176,Dhoni,Lakers,sri lanka,50,mal, ,footbal,14-05-2022,,2809,,125,1,5,3,51501,6375,Kolkata,,,3.2,1,84151, ,,58,11,,12345,4808,6
1057,5105, ,Lakers,India,49,Other,,footbal,13-07-2022,-1536,1926,,135,0,9,0,7536,,Bangalore, ,,9.1,,82593,creadit card,6474,56,19,xyz@,9999999999,4445,66
1021,5057,Bumrah,RCB,INDIA,28,femal,, ,08-12-2020,,-390,,51,9,8,1,55153,4251,Kolkata,, lose,8.7,5,83341,credit card,1380,,9,,9876543210,2367,164
1088,5038,Rohit ,Lakers,,66,Male,Rahul Dravid,Tennis,20-10-2023,,,,90,2,6,5,,,Delhi,,,,2,80195,,,1,8,xyz@,12345,2584,143
1048,5079,Smith,Barcelona,australia,41,male,,,12-06-2021,1620,,,32,9,3,4,28270,,,Cloudy,Win,9.5,,81790,creadit card,15884,0,15,,9999999999,905,76
1058,5096,Ronaldo,CSK,INDIA,44,mal,John Smith,Tennis,05-12-2023,-765,1536,,80,4,2,4,17818,,Chennai,Rainy,win ,8.5,2,81106,upi,15918,81,6,,,3227,40
1169,5112,Messi,Barcelona,australia,44,female,,,05-12-2023,1427,,369706,41,5,9,4,38521,8764,Mumbai,,win ,,3,82789,netbanking,19875,6,8,xyz@,9876543210,1827,169
1187,5060,Bumrah,CSK,India,52,male, , ,05-12-2023,,,446653,111,2,3,3,,2084,Chennai,Cloudy,,,,82184,upi,8796,19,24,abc@gmail.com,9999999999,3722,7
1014,5136,Smith,KKR,,42,male, ,,21-03-2020,,2267,474567,125,8,2,5,,13454,,,,,1,80538,cash,,118,24,user@yahoo,9876543210,2580,22
1189,5005,Joe Root,,India,41,female,,basktball,20-01-2022,,189,,154,4,2,4,,,Mumbai,rainy,Win,7.8,1,84784,creadit card,7650,38,23,user@yahoo,,4597,72
1189,5108,Messi,MI,Australia,33,male,, ,19-01-2021,-1896,-88,740,135,1,8,1,,8066,Chennai,,Draw,,,80718, ,3377,,5,,12345,1515,106
1174,5034, Virat,,england,56,Female,Rahul Dravid,basktball,08-06-2023,,2831,,150,9,3,1,14287,,Chennai,,Draw,,6,83995,cash,5257,115,29,,12345,4622,139
1189,5038, Virat,Barcelona,Sri Lanka,42,female, ,,17-05-2022,,,786510,105,5,8,4,1440,14806,,,DRAW,,1,80305,netbanking,,,26,abc@gmail.com,12345,4806,130
1050,5149,Ronaldo,MI,,49,Other,None,Basketball,20-03-2023,646,,63586,124,7,9,2,48051,,Delhi, ,DRAW,8.1,0,80387,credit card,,56,9,xyz@,9876543210,3003,30
1107,5168, Virat,MI,sri lanka,20,Mle,None,Basketball,05-07-2022,3412,2620,262307,112,5,4,4,32080,9882, ,,,3.3,1,80724,cash,13804,,6,,12345,111,68
1054,5117,Messi,CSK,sri lanka,26,femal,,basktball,12-05-2023,,,,63,3,6,2,,,Chennai,Sunny,Win,,0,82596,upiid,,,17,user@yahoo,9876543210,1672,181
1063,5004,Messi,CSK,india,28,femal,,basktball,10-01-2020,4086,1343,1033361,122,5,4,0,10987,12869,Delhi,Rainy,,7.1,,82435,cash,11031,,10,user@yahoo,,2302,89
1130,5169, ,CSK,INDIA,16,mal,None,Tennis,13-10-2022,,2090,,113,7,0,0,,, ,Cloudy,Win,,,82340,creadit card,12543,,0,user@yahoo,9876543210,1650,149
1050,5086,Bumrah,Barcelona,Sri Lanka,36,Female,None,Football,26-07-2022,-473,2706,,19,7,1,1,,13141,,rainy, lose,2.1,7,80178,cash,,52,28,,12345,4395,153
1134,5075,Rohit ,MI,sri lanka,56,Female,,Cricket,13-01-2022,2472,2731,,15,9,4,5,,,Chennai,Cloudy,win ,9.2,,81903,upi,,26,20,,,2474,73
1020,5194,Dhoni,KKR,england,20,Mle,,basktball,11-03-2022,,-470,1403262,144,1,5,3,4808,16,,Sunny,Win,,6,81704,creadit card,9720,,23,abc@gmail.com,,3995,72
1072,5157,Hardik,,sri lanka,26,Male,,,05-12-2023,450,,,18,7,6,5,16432,, ,Sunny, lose,,,83383,,5504,,18,xyz@,12345,1890,133
1166,5056, Virat,MI,england,68,Mle, ,Basketball,12-03-2020,,1015,1361568,119,5,1,1,8512,, ,rainy,Win,,6,84175, ,16425,67,22,xyz@,9876543210,306,66
1017,5126,Ronaldo,,england,48,male,Rahul Dravid,Tennis,22-11-2021,178,,220096,135,1,9,1,4958,,Bangalore,,DRAW,,,84542,upiid,15724,96,4,,9876543210,120,85
1131,5028, Virat,Lakers,,35,mal,None,Cricket,,,1687,1079252,165,0,8,5,,,Delhi,,Draw,,,84861,upi,1251,,27,abc@gmail.com,12345,3101,49
1088,5164,Hardik,Barcelona,australia,33,Male,Rahul Dravid,,28-06-2022,,,1405075,37,5,5,3,40485,,Mumbai,,win ,,0,84665,cash,,,25,user@yahoo,9876543210,1277,8
1059,5086,Bumrah,Lakers,Australia,35,femal,,Basketball,02-03-2023,3030,1080,1243952,180,6,1,1,,,Mumbai,,win ,8.3,,80095,cash,12429,73,28,xyz@,,1427,155
1013,5140,,Barcelona,INDIA,32,Male,Rahul Dravid,,04-03-2021,,2777,,92,9,1,3,28501,10696,Delhi,rainy, lose,9.1,2,81283,cash,,1,23,user@yahoo,9876543210,3102,2
1008,5159, ,RCB,India,13,femal,Rahul Dravid,Tennis,13-05-2021,2542,2522,1294263,104,4,2,1,,3027,Chennai,Sunny, lose,2.7,6,80247,upi,18105,,5,,9876543210,1185,28
1089,5045,Messi,Barcelona,INDIA,39,female,,,25-04-2023,2535,,,99,9,0,0,,17623,Kolkata,rainy,,7.5,,80981,netbanking,,88,21,,9876543210,1455,139
1052,5115, ,KKR,,9,Other, ,Tennis,04-07-2020,1650,582,371378,89,7,8,2,,6379,Bangalore,,,3,5,84363,credit card,15893,,6,,9876543210,1179,46
1129,5111,Joe Root,MI,Australia,39,mal,Rahul Dravid,Football,,3026,,1239848,158,8,9,1,32600,13146,Bangalore,rainy,win ,1.1,,81565,netbanking,,7,22,,9999999999,1346,126
1083,5150, Virat,Lakers,,14,mal,John Smith,Basketball,20-11-2023,,,,43,3,3,2,,,Chennai, ,win ,6.3,6,82141,,15479,,3,,9876543210,628,21
